index	სათაური	გამოშვების წელი	ძრავი	გარბენი	გადაცემათა კოლოფი	საჭე
1	იყიდება BMW X5 M	2015 წ	4.4 ბენზინი	110000 კმ	ავტომატიკა	მარცხნივ
2	იყიდება INFINITI QX30	2018 წ	2.0 ბენზინი	78400 კმ	ტიპტრონიკი	მარცხნივ
3	იყიდება LAND ROVER Range Rover	2004 წ	4.4 ბენზინი	220000 კმ	ტიპტრონიკი	მარცხნივ
4	იყიდება TOYOTA Land Cruiser Prado	2008 წ	2.7 ბენზინი	197500 კმ	ავტომატიკა	მარცხნივ
5	ქირავდება TOYOTA Prius	2012 წ	1.5 ჰიბრიდი	1000 კმ	ავტომატიკა	მარცხნივ
6	იყიდება DODGE Dart	2015 წ	2.0 ბენზინი	95334 კმ	ტიპტრონიკი	მარცხნივ
7	ქირავდება TOYOTA Camry	2014 წ	2.5 ჰიბრიდი	100000 კმ	ვარიატორი	მარცხნივ
8	იყიდება SKODA Octavia	2014 წ	2.0 დიზელი	170000 კმ	ტიპტრონიკი	მარცხნივ
9	იყიდება LEXUS GX 460	2011 წ	4.6 ბენზინი	134000 კმ	ავტომატიკა	მარცხნივ
10	ქირავდება KIA SOUL	2015 წ	2.0 ბენზინი	73600 კმ	ავტომატიკა	მარცხნივ
11	იყიდება BMW 335	2008 წ	3.0 ბენზინი	160000 კმ	ტიპტრონიკი	მარცხნივ
12	იყიდება TOYOTA FJ Cruiser	2007 წ	4.0 ბენზინი	157000 კმ	მექანიკური	მარცხნივ
13	იყიდება MERCEDES-BENZ ML 350	2010 წ	3.5 დიზელი	21500 კმ	ტიპტრონიკი	მარცხნივ
14	იყიდება BMW X6	2015 წ	4.4 ბენზინი	107000 კმ	ტიპტრონიკი	მარცხნივ
15	იყიდება HONDA FIT	2013 წ	1.3 ბენზინი	95000 კმ	ავტომატიკა	მარჯვნივ
16	იყიდება FORD Fusion	2017 წ	2.0 ჰიბრიდი	140354 კმ	ვარიატორი	მარცხნივ
17	იყიდება BMW 535	2013 წ	3.0 ჰიბრიდი	135000 კმ	ტიპტრონიკი	მარცხნივ
18	ქირავდება HYUNDAI Tucson	2013 წ	2.4 ბენზინი	980000 კმ	ტიპტრონიკი	მარცხნივ
19	იყიდება CHEVROLET Silverado	2017 წ	5.3 ბენზინი	14400 კმ	ავტომატიკა	მარცხნივ
20	იყიდება TOYOTA Highlander	2021 წ	2.5 ჰიბრიდი	20 კმ	ვარიატორი	მარცხნივ
21	იყიდება DODGE Charger	2013 წ	3.6 ბენზინი	256000 კმ	ტიპტრონიკი	მარცხნივ
22	იყიდება FORD Ranger	2021 წ	2.2 დიზელი	600 კმ	ტიპტრონიკი	მარცხნივ
23	იყიდება BMW 335	2007 წ	3.0 ბენზინი	175000 კმ	ტიპტრონიკი	მარცხნივ
24	იყიდება BMW X5	2008 წ	3.0 ბენზინი	260000 კმ	ტიპტრონიკი	მარცხნივ
25	იყიდება HONDA FIT	2013 წ	1.3 ბენზინი	75000 კმ	ვარიატორი	მარჯვნივ
1	იყიდება FIAT 500X	2016 წ	2.4 ბენზინი	150939 კმ	ტიპტრონიკი	მარცხნივ
2	იყიდება MERCEDES-BENZ E 350	2012 წ	3.5 ბენზინი	175410 კმ	ავტომატიკა	მარცხნივ
3	იყიდება NISSAN Juke	2013 წ	1.6 ბენზინი	104019 კმ	ტიპტრონიკი	მარცხნივ
4	იყიდება TOYOTA Aqua	2012 წ	1.5 ჰიბრიდი	164113 კმ	ავტომატიკა	მარჯვნივ
5	იყიდება HONDA FIT	2013 წ	1.5 ჰიბრიდი	137596 კმ	ავტომატიკა	მარჯვნივ
6	იყიდება TOYOTA Prius	2009 წ	1.8 ჰიბრიდი	186690 კმ	ავტომატიკა	მარცხნივ
7	იყიდება BMW 328	2012 წ	2.0 ბენზინი	181005 კმ	ტიპტრონიკი	მარცხნივ
8	იყიდება TOYOTA Highlander	2008 წ	3.3 ჰიბრიდი	232254 კმ	ავტომატიკა	მარცხნივ
9	იყიდება FORD Focus	2013 წ	2.0 ბენზინი	109830 კმ	ავტომატიკა	მარცხნივ
10	იყიდება MITSUBISHI Outlander Sport	2011 წ	2.0 ბენზინი	117197 კმ	ტიპტრონიკი	მარცხნივ
11	იყიდება HYUNDAI Elantra	2018 წ	2.0 ბენზინი	168782 კმ	ავტომატიკა	მარცხნივ
12	იყიდება TOYOTA Camry	2014 წ	2.5 ჰიბრიდი	141773 კმ	ავტომატიკა	მარცხნივ
13	იყიდება FORD Focus	2015 წ	2.0 ბენზინი	151086 კმ	ავტომატიკა	მარცხნივ
14	იყიდება VOLKSWAGEN Golf	2011 წ	1.6 ბენზინი	91974 კმ	ავტომატიკა	მარცხნივ
15	იყიდება JEEP Cherokee	2013 წ	2.4 ბენზინი	180814 კმ	ტიპტრონიკი	მარცხნივ
16	იყიდება MERCEDES-BENZ E 350	2014 წ	3.5 ბენზინი	154645 კმ	ავტომატიკა	მარცხნივ
17	იყიდება TOYOTA Camry	2017 წ	2.5 ბენზინი	55701 კმ	ტიპტრონიკი	მარცხნივ
18	იყიდება HONDA FIT	2011 წ	1.3 ჰიბრიდი	0 კმ	ავტომატიკა	მარჯვნივ
19	იყიდება HONDA FIT	2011 წ	1.3 ჰიბრიდი	186209 კმ	ავტომატიკა	მარჯვნივ
20	იყიდება TOYOTA Prius	2011 წ	1.8 ჰიბრიდი	247506 კმ	ავტომატიკა	მარცხნივ
21	იყიდება KIA Forte	2014 წ	2.0 ბენზინი	122307 კმ	ტიპტრონიკი	მარცხნივ
22	იყიდება MERCEDES-BENZ E 350	2013 წ	3.5 ბენზინი	123368 კმ	ავტომატიკა	მარცხნივ
23	იყიდება TOYOTA Camry	2018 წ	2.5 ბენზინი	44637 კმ	ავტომატიკა	მარცხნივ
24	იყიდება HYUNDAI Sonata	2015 წ	2.4 ბენზინი	131445 კმ	ტიპტრონიკი	მარცხნივ
25	იყიდება TOYOTA Prius C	2012 წ	1.5 ჰიბრიდი	138754 კმ	ავტომატიკა	მარცხნივ
1	იყიდება HONDA FIT	2012 წ	1.3 ჰიბრიდი	156061 კმ	ავტომატიკა	მარჯვნივ
2	იყიდება TOYOTA Prius	2010 წ	1.8 ჰიბრიდი	240563 კმ	ავტომატიკა	მარცხნივ
3	იყიდება TOYOTA Camry	2017 წ	2.5 ბენზინი	112205 კმ	ავტომატიკა	მარცხნივ
4	იყიდება TOYOTA Camry	2012 წ	2.5 ბენზინი	140440 კმ	ტიპტრონიკი	მარცხნივ
5	იყიდება BMW 535	2011 წ	3.0 ბენზინი	192277 კმ	ავტომატიკა	მარცხნივ
6	იყიდება FORD Focus	2011 წ	2.0 ბენზინი	143904 კმ	ავტომატიკა	მარცხნივ
7	იყიდება HONDA FIT	2011 წ	1.3 ჰიბრიდი	131239 კმ	ავტომატიკა	მარჯვნივ
8	იყიდება TOYOTA CHR	2017 წ	2.0 ბენზინი	104845 კმ	ავტომატიკა	მარცხნივ
9	იყიდება SUZUKI Vitara	2015 წ	1.6 ბენზინი	94754 კმ	ტიპტრონიკი	მარცხნივ
10	იყიდება HONDA FIT	2012 წ	1.3 ჰიბრიდი	157903 კმ	ავტომატიკა	მარჯვნივ
11	იყიდება VOLKSWAGEN Jetta	2015 წ	1.8 ბენზინი	113909 კმ	ავტომატიკა	მარცხნივ
12	იყიდება HONDA FIT	2013 წ	1.5 ჰიბრიდი	145694 კმ	ავტომატიკა	მარჯვნივ
13	იყიდება TOYOTA Aqua	2012 წ	1.5 ჰიბრიდი	117395 კმ	ავტომატიკა	მარჯვნივ
14	იყიდება FORD Fusion	2013 წ	2.0 ჰიბრიდი	131562 კმ	ავტომატიკა	მარცხნივ
15	იყიდება AUDI Q5	2012 წ	3.2 ბენზინი	183874 კმ	ტიპტრონიკი	მარცხნივ
16	იყიდება MERCEDES-BENZ E 350	2012 წ	3.5 ბენზინი	224046 კმ	ავტომატიკა	მარცხნივ
17	იყიდება TOYOTA Camry	2018 წ	2.5 ჰიბრიდი	46988 კმ	ავტომატიკა	მარცხნივ
18	იყიდება HONDA FIT	2011 წ	1.3 ბენზინი	111378 კმ	ავტომატიკა	მარჯვნივ
19	იყიდება HONDA FIT	2013 წ	1.3 ჰიბრიდი	167677 კმ	ავტომატიკა	მარჯვნივ
20	იყიდება TOYOTA Camry	2012 წ	2.5 ჰიბრიდი	248227 კმ	ვარიატორი	მარცხნივ
21	იყიდება BMW X5	2010 წ	3.0 ბენზინი	187724 კმ	ავტომატიკა	მარცხნივ
22	იყიდება HONDA FIT	2013 წ	1.5 ჰიბრიდი	160907 კმ	ავტომატიკა	მარჯვნივ
23	იყიდება FIAT 500	2012 წ	1.4 ბენზინი	160329 კმ	ტიპტრონიკი	მარცხნივ
24	იყიდება CHEVROLET Volt	2012 წ	1.4 დატენვადი ჰიბრიდი	184152 კმ	ავტომატიკა	მარცხნივ
25	იყიდება TOYOTA Camry	2014 წ	2.5 ბენზინი	114632 კმ	ტიპტრონიკი	მარცხნივ
1	იყიდება TOYOTA Aqua	2012 წ	1.5 ჰიბრიდი	160603 კმ	ავტომატიკა	მარჯვნივ
2	იყიდება VOLKSWAGEN Passat	2015 წ	1.8 ბენზინი	100278 კმ	ავტომატიკა	მარცხნივ
3	ქირავდება HONDA FIT	2005 წ	1.3 ბენზინი	1555 კმ	ავტომატიკა	მარჯვნივ
4	ქირავდება VOLKSWAGEN Passat	2012 წ	2.5 ბენზინი	150000 კმ	ავტომატიკა	მარცხნივ
5	იყიდება BMW 328	2012 წ	3.0 ბენზინი	98000 კმ	ავტომატიკა	მარცხნივ
6	ქირავდება TOYOTA Camry	2014 წ	2.4 ჰიბრიდი	0 კმ	ავტომატიკა	მარცხნივ
7	ქირავდება TOYOTA Prius	2010 წ	1.8 ჰიბრიდი	0 კმ	ავტომატიკა	მარცხნივ
8	იყიდება FORD Fusion	2016 წ	2.0 ბენზინი	112400 კმ	ავტომატიკა	მარცხნივ
9	იყიდება MERCEDES-BENZ E 430	2017 წ	3.0 ბენზინი	59000 კმ	ტიპტრონიკი	მარცხნივ
10	იყიდება HYUNDAI Accent	2021 წ	1.6 ბენზინი	5000 კმ	ტიპტრონიკი	მარცხნივ
11	ქირავდება BMW 730	2021 წ	3.0 დიზელი	600 კმ	ტიპტრონიკი	მარცხნივ
12	ქირავდება TESLA Model 3	2019 წ	0.0 ელექტრო	54000 კმ	ავტომატიკა	მარცხნივ
13	ქირავდება MERCEDES-BENZ S 500	2017 წ	5.0 ბენზინი	64000 კმ	ავტომატიკა	მარცხნივ
14	ქირავდება MASERATI Grand Tourizmo	2015 წ	4.5 ბენზინი	51000 კმ	ტიპტრონიკი	მარცხნივ
15	ქირავდება MERCEDES-BENZ AMG GT S	2017 წ	4.7 ბენზინი	54000 კმ	ტიპტრონიკი	მარცხნივ
16	ქირავდება AUDI A8	2016 წ	3.0 ბენზინი	94000 კმ	ტიპტრონიკი	მარცხნივ
17	ქირავდება MERCEDES-BENZ V 220	2021 წ	2.5 დიზელი	8600 კმ	ავტომატიკა	მარცხნივ
18	ქირავდება LAND ROVER Defender	2020 წ	3.0 ბენზინი	23000 კმ	ტიპტრონიკი	მარცხნივ
19	ქირავდება CHANGAN	2019 წ	0.0 ელექტრო	35000 კმ	ავტომატიკა	მარცხნივ
20	ქირავდება CHANGAN	2019 წ	0.0 ელექტრო	32000 კმ	ავტომატიკა	მარცხნივ
21	ქირავდება TOYOTA Prius	2014 წ	1.8 ჰიბრიდი	110000 კმ	ვარიატორი	მარცხნივ
22	ქირავდება TOYOTA Camry	2010 წ	2.4 ჰიბრიდი	120000 კმ	ვარიატორი	მარცხნივ
23	იყიდება BMW 318	2004 წ	2.0 ბენზინი	157000 კმ	მექანიკური	მარჯვნივ
24	ქირავდება TOYOTA Prius	2012 წ	1.8 ჰიბრიდი	113258 კმ	ავტომატიკა	მარცხნივ
25	იყიდება MERCEDES-BENZ Sprinter	2005 წ	2.2 დიზელი	178000 კმ	მექანიკური	მარცხნივ
1	იყიდება FORD Transit	1998 წ	2.5 დიზელი	214748 კმ	მექანიკური	მარჯვნივ
2	იყიდება BMW X6 M	2015 წ	4.4 ბენზინი	85000 კმ	ტიპტრონიკი	მარცხნივ
3	იყიდება BMW 535	2011 წ	3.0 დიზელი	285000 კმ	ტიპტრონიკი	მარცხნივ
4	იყიდება BMW Z4	2007 წ	3.0 ბენზინი	228800 კმ	ტიპტრონიკი	მარცხნივ
5	იყიდება LEXUS ES 300	2014 წ	3.0 ჰიბრიდი	140000 კმ	ავტომატიკა	მარცხნივ
6	იყიდება MERCEDES-BENZ GL 350	2015 წ	3.0 დიზელი	113000 კმ	ტიპტრონიკი	მარცხნივ
7	იყიდება AUDI Q3	2016 წ	2.0 ბენზინი	91000 კმ	ტიპტრონიკი	მარცხნივ
8	იყიდება MERCEDES-BENZ E 350	2012 წ	3.5 ბენზინი	138000 კმ	ტიპტრონიკი	მარცხნივ
9	იყიდება TOYOTA Auris	2009 წ	2.2 დიზელი	184000 კმ	მექანიკური	მარცხნივ
10	იყიდება FORD Focus	2013 წ	2.0 ბენზინი	242000 კმ	ტიპტრონიკი	მარცხნივ
11	იყიდება MERCEDES-BENZ GLE 63 AMG	2016 წ	5.5 ბენზინი	63000 კმ	ტიპტრონიკი	მარცხნივ
12	იყიდება BMW 650	2011 წ	4.5 ბენზინი	112000 კმ	ტიპტრონიკი	მარცხნივ
13	იყიდება NISSAN Kicks	2020 წ	1.6 ბენზინი	8000 კმ	ვარიატორი	მარცხნივ
14	ქირავდება TOYOTA Camry	2005 წ	2.4 ბენზინი	125000 კმ	ავტომატიკა	მარცხნივ
15	იყიდება MERCEDES-BENZ GLC 300	2016 წ	2.0 ბენზინი	32000 კმ	ტიპტრონიკი	მარცხნივ
16	იყიდება MERCEDES-BENZ E 350	2011 წ	3.0 დიზელი	155200 კმ	ტიპტრონიკი	მარცხნივ
17	იყიდება MERCEDES-BENZ E 350	2015 წ	3.5 ბენზინი	91000 კმ	ტიპტრონიკი	მარცხნივ
18	იყიდება BMW 640	2015 წ	3.3 ბენზინი	71000 კმ	ტიპტრონიკი	მარცხნივ
19	იყიდება HONDA FIT	2006 წ	1.3 ბენზინი	140000 კმ	ვარიატორი	მარჯვნივ
20	იყიდება HYUNDAI kona	2019 წ	2.0 ბენზინი	43606 კმ	ტიპტრონიკი	მარცხნივ
21	იყიდება AUDI A4	2011 წ	2.0 ბენზინი	143000 კმ	ტიპტრონიკი	მარცხნივ
22	იყიდება HYUNDAI Elantra	2017 წ	2.0 ბენზინი	83200 კმ	ტიპტრონიკი	მარცხნივ
23	იყიდება HYUNDAI Elantra	2018 წ	2.0 ბენზინი	19947 კმ	ტიპტრონიკი	მარცხნივ
24	იყიდება HONDA FIT	2019 წ	1.5 ბენზინი	23000 კმ	ავტომატიკა	მარცხნივ
25	იყიდება MITSUBISHI Lancer	2015 წ	2.4 ბენზინი	102400 კმ	ავტომატიკა	მარცხნივ
1	იყიდება TOYOTA Land Cruiser	2021 წ	3.5 ბენზინი	0 კმ	ტიპტრონიკი	მარცხნივ
2	იყიდება TOYOTA Land Cruiser	2021 წ	3.5 ბენზინი	0 კმ	ტიპტრონიკი	მარცხნივ
3	იყიდება BMW X4	2016 წ	3.0 ბენზინი	84000 კმ	ტიპტრონიკი	მარცხნივ
4	იყიდება TOYOTA RAV 4	2012 წ	2.5 ბენზინი	64000 კმ	ავტომატიკა	მარცხნივ
5	იყიდება BMW 730	2007 წ	3.0 დიზელი	200000 კმ	ტიპტრონიკი	მარცხნივ
6	იყიდება CHEVROLET Camaro	2017 წ	3.6 ბენზინი	59000 კმ	ტიპტრონიკი	მარცხნივ
7	იყიდება KIA Seltos	2020 წ	2.0 ბენზინი	5800 კმ	ტიპტრონიკი	მარცხნივ
8	იყიდება MERCEDES-BENZ GLE 63 AMG	2016 წ	5.5 ბენზინი	56000 კმ	ტიპტრონიკი	მარცხნივ
9	იყიდება NISSAN Sentra	2015 წ	1.8 ბენზინი	111000 კმ	ვარიატორი	მარცხნივ
10	იყიდება MAZDA CX-5	2013 წ	2.5 ბენზინი	164800 კმ	ტიპტრონიკი	მარცხნივ
11	იყიდება MERCEDES-BENZ Citan	2013 წ	1.5 დიზელი	120000 კმ	მექანიკური	მარცხნივ
12	იყიდება MERCEDES-BENZ E 350	2011 წ	3.5 ბენზინი	170000 კმ	ავტომატიკა	მარცხნივ
13	იყიდება BMW X6	2012 წ	3.0 დიზელი	167000 კმ	ტიპტრონიკი	მარცხნივ
14	იყიდება FIAT 500 Abarth	2017 წ	1.4 ბენზინი	29000 კმ	მექანიკური	მარცხნივ
15	იყიდება TOYOTA Land Cruiser	2017 წ	4.5 დიზელი	78000 კმ	ავტომატიკა	მარცხნივ
16	იყიდება PORSCHE Panamera	2014 წ	4.8 ბენზინი	48000 კმ	ტიპტრონიკი	მარცხნივ
